Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2024-08-01 00:00:00,104,10.0,1.0,27.0,1.0,-9999.0,1.0,0.93183,1.0,11.2366,1.0,12.1684,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,158.563,1.0,65.868,1.0,639.071,1.0,0.0,1.0,-9999.0,1.0,21.55,1.0,3.667,1.0
2024-08-01 01:00:00,104,9.0,1.0,27.0,1.0,-9999.0,1.0,0.780848,1.0,9.48739,1.0,10.2682,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,157.244,1.0,66.577,1.0,638.759,1.0,0.0,1.0,-9999.0,1.0,21.227,1.0,2.852,1.0
2024-08-01 02:00:00,104,9.0,1.0,27.0,1.0,-9999.0,1.0,0.700514,1.0,7.25381,1.0,7.95433,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,145.397,1.0,68.121,1.0,638.274,1.0,0.0,1.0,-9999.0,1.0,20.871,1.0,1.924,1.0
2024-08-01 03:00:00,104,17.0,1.0,28.0,1.0,-9999.0,1.0,0.928934,1.0,11.0736,1.0,12.0025,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,149.56,1.0,68.045,1.0,637.883,1.0,0.0,1.0,-9999.0,1.0,20.648,1.0,1.237,1.0
2024-08-01 04:00:00,104,11.0,1.0,30.0,1.0,-9999.0,1.0,1.17683,1.0,12.7647,1.0,13.9415,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,189.879,1.0,70.633,1.0,638.129,1.0,0.0,1.0,-9999.0,1.0,20.081,1.0,0.884,1.0
2024-08-01 05:00:00,104,16.0,1.0,45.0,1.0,-9999.0,1.0,12.2137,1.0,19.1818,1.0,31.3959,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,294.263,1.0,72.439,1.0,638.493,1.0,0.0,1.0,-9999.0,1.0,19.424,1.0,0.463,1.0
2024-08-01 06:00:00,104,25.0,1.0,51.0,1.0,-9999.0,1.0,28.1,1.0,20.8594,1.0,48.9593,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,292.06,1.0,72.197,1.0,638.929,1.0,0.0,1.0,-9999.0,1.0,19.343,1.0,0.736,1.0
2024-08-01 07:00:00,104,27.0,1.0,99.0,2.2,-9999.0,1.0,53.2238,2.2,20.114,1.0,73.3378,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,267.416,1.0,67.697,1.0,639.591,1.0,0.0,1.0,-9999.0,1.0,20.646,1.0,0.666,1.0
2024-08-01 08:00:00,104,38.0,2.2,79.0,1.0,-9999.0,1.0,68.7682,2.2,31.9402,1.0,100.708,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,230.713,1.0,58.918,1.0,639.67,1.0,0.0,1.0,-9999.0,1.0,22.287,1.0,0.175,1.0
2024-08-01 09:00:00,104,31.0,1.0,58.0,1.0,-9999.0,1.0,51.64,2.2,39.0242,1.0,90.6642,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,199.566,1.0,48.855,1.0,639.214,1.0,0.0,1.0,-9999.0,1.0,24.509,1.0,1.464,1.0
2024-08-01 10:00:00,104,15.0,1.0,41.0,1.0,-9999.0,1.0,26.7225,1.0,30.9963,1.0,57.7189,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,205.371,1.0,42.55,1.0,638.792,1.0,0.0,1.0,-9999.0,1.0,26.772,1.0,1.629,1.0
2024-08-01 11:00:00,104,17.0,1.0,34.0,1.0,-9999.0,1.0,12.0819,1.0,22.0623,1.0,34.1441,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,165.507,1.0,38.962,1.0,638.321,1.0,0.0,1.0,-9999.0,1.0,28.517,1.0,3.167,1.0
2024-08-01 12:00:00,104,11.0,1.0,24.0,1.0,-9999.0,1.0,6.29068,1.0,13.5235,1.0,19.8142,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,166.227,1.0,35.486,1.0,637.663,1.0,0.0,1.0,-9999.0,1.0,29.341,1.0,1.764,1.0
2024-08-01 13:00:00,104,7.0,1.0,24.0,1.0,-9999.0,1.0,3.47649,1.0,7.98805,1.0,11.4645,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,98.519,1.0,35.921,1.0,637.279,1.0,0.0,1.0,-9999.0,1.0,29.618,1.0,3.824,1.0
2024-08-01 14:00:00,104,5.0,1.0,31.0,1.0,-9999.0,1.0,3.30586,1.0,7.12167,1.0,10.4275,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,98.593,1.0,40.194,1.0,637.079,1.0,0.0,1.0,-9999.0,1.0,28.205,1.0,4.766,1.0
2024-08-01 15:00:00,104,7.0,1.0,35.0,1.0,-9999.0,1.0,2.69695,1.0,8.39188,1.0,11.0888,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,145.935,1.0,41.013,1.0,636.861,1.0,0.0,1.0,-9999.0,1.0,27.901,1.0,2.316,1.0
2024-08-01 16:00:00,104,7.0,1.0,42.0,1.0,-9999.0,1.0,4.77039,1.0,15.0585,1.0,19.8289,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,178.172,1.0,40.65,1.0,636.874,1.0,0.0,1.0,-9999.0,1.0,27.685,1.0,3.017,1.0
2024-08-01 17:00:00,104,11.0,1.0,24.0,1.0,-9999.0,1.0,5.11769,1.0,19.2202,1.0,24.3379,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,116.797,1.0,42.085,1.0,637.089,1.0,0.0,1.0,-9999.0,1.0,27.413,1.0,3.135,1.0
2024-08-01 18:00:00,104,13.0,1.0,29.0,1.0,-9999.0,1.0,3.04386,1.0,18.5343,1.0,21.5782,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,131.649,1.0,46.877,1.0,637.507,1.0,0.0,1.0,-9999.0,1.0,26.069,1.0,2.786,1.0
2024-08-01 19:00:00,104,12.0,1.0,37.0,1.0,-9999.0,1.0,1.96045,1.0,21.7566,1.0,23.717,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,117.754,1.0,48.621,1.0,638.268,1.0,0.0,1.0,-9999.0,1.0,25.537,1.0,0.619,1.0
2024-08-01 20:00:00,104,18.0,1.0,48.0,1.0,-9999.0,1.0,2.05509,1.0,27.077,1.0,29.1321,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,129.247,1.0,52.928,1.0,639.0,1.0,0.0,1.0,-9999.0,1.0,24.679,1.0,1.859,1.0
2024-08-01 21:00:00,104,17.0,1.0,45.0,1.0,-9999.0,1.0,2.50781,1.0,22.6602,1.0,25.1681,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,150.735,1.0,57.368,1.0,639.388,1.0,0.0,1.0,-9999.0,1.0,23.789,1.0,2.564,1.0
2024-08-01 22:00:00,104,10.0,1.0,39.0,1.0,-9999.0,1.0,1.36972,1.0,19.8457,1.0,21.2155,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,166.123,1.0,59.97,1.0,639.833,1.0,0.0,1.0,-9999.0,1.0,23.189,1.0,2.346,1.0
2024-08-01 23:00:00,104,12.0,1.0,34.0,1.0,-9999.0,1.0,1.14023,1.0,17.4785,1.0,18.6184,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,162.245,1.0,64.822,1.0,640.145,1.0,0.0,1.0,-9999.0,1.0,22.255,1.0,3.083,1.0
2024-08-02 00:00:00,104,16.0,1.0,37.0,1.0,-9999.0,1.0,0.73164,1.0,12.9707,1.0,13.7023,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,165.116,1.0,69.264,1.0,640.02,1.0,0.0,1.0,-9999.0,1.0,21.63,1.0,2.849,1.0
2024-08-02 01:00:00,104,12.0,1.0,12.0,1.0,-9999.0,1.0,0.810135,1.8,9.63938,1.8,10.4495,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,164.233,1.0,71.015,1.0,639.805,1.0,0.0,1.0,-9999.0,1.0,21.207,1.0,2.765,1.0
2024-08-02 02:00:00,104,12.0,1.0,26.0,1.0,-9999.0,1.0,0.794412,1.8,9.00732,1.8,9.80173,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,147.978,1.0,70.959,1.0,639.315,1.0,0.0,1.0,-9999.0,1.0,21.015,1.0,1.371,1.0
2024-08-02 03:00:00,104,9.0,1.0,26.0,1.0,-9999.0,1.0,1.02418,1.8,8.97412,1.8,9.9983,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,158.179,1.0,72.825,1.0,639.2,1.0,0.0,1.0,-9999.0,1.0,20.668,1.0,1.928,1.0
2024-08-02 04:00:00,104,9.0,1.0,35.0,1.0,-9999.0,1.0,1.08378,1.8,10.9127,1.8,11.9964,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,142.424,1.0,72.209,1.0,639.486,1.0,0.0,1.0,-9999.0,1.0,20.592,1.0,1.34,1.0
2024-08-02 05:00:00,104,16.0,1.0,33.0,1.0,-9999.0,1.0,2.07408,1.8,18.9299,1.8,21.004,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,167.828,1.0,72.541,1.0,639.695,1.0,0.0,1.0,-9999.0,1.0,20.49,1.0,1.72,1.0
2024-08-02 06:00:00,104,12.0,1.0,37.0,1.0,-9999.0,1.0,9.02189,1.8,21.6885,1.8,30.7104,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,164.042,1.0,71.293,1.0,639.712,1.0,0.0,1.0,-9999.0,1.0,20.573,1.0,1.343,1.0
2024-08-02 07:00:00,104,18.0,1.0,28.0,1.0,-9999.0,1.0,16.8364,1.8,22.5464,1.8,39.3829,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,164.978,1.0,68.794,1.0,639.865,1.0,0.0,1.0,-9999.0,1.0,21.412,1.0,1.095,1.0
2024-08-02 08:00:00,104,30.0,1.0,54.0,1.0,-9999.0,1.0,32.0431,2.2,26.5745,1.8,58.6176,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,146.497,1.0,60.341,1.0,639.842,1.0,0.0,1.0,-9999.0,1.0,23.169,1.0,1.662,1.0
2024-08-02 09:00:00,104,26.0,1.0,34.0,1.0,-9999.0,1.0,20.1431,2.2,20.2382,1.8,40.3813,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,151.865,1.0,50.538,1.0,639.508,1.0,0.0,1.0,-9999.0,1.0,25.086,1.0,1.409,1.0
2024-08-02 10:00:00,104,11.0,1.0,25.0,1.0,-9999.0,1.0,10.5989,1.8,12.6964,1.8,23.2952,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,179.887,1.0,45.403,1.0,638.898,1.0,0.0,1.0,-9999.0,1.0,26.39,1.0,0.792,1.0
2024-08-02 11:00:00,104,24.0,1.0,39.0,1.0,-9999.0,1.0,7.39071,1.8,15.1936,1.8,22.5843,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,180.993,1.0,38.924,1.0,638.258,1.0,0.0,1.0,-9999.0,1.0,28.136,1.0,1.702,1.0
2024-08-02 12:00:00,104,19.0,1.0,28.0,1.0,-9999.0,1.0,4.80448,1.8,10.9625,1.8,15.7669,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,139.198,1.0,33.708,1.0,637.528,1.0,0.0,1.0,-9999.0,1.0,29.473,1.0,1.712,1.0
2024-08-02 13:00:00,104,6.0,1.0,31.0,1.0,-9999.0,1.0,2.99955,1.8,7.6504,1.8,10.6499,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,102.82,1.0,27.327,1.0,637.019,1.0,0.0,1.0,-9999.0,1.0,30.591,1.0,4.43,1.0
2024-08-02 14:00:00,104,985.0,4.2985,31.0,1.0,-9999.0,1.0,4.50205,1.8,6.36722,1.8,10.8693,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,112.879,1.0,27.048,1.0,636.565,1.0,0.0,1.0,-9999.0,1.0,30.49,1.0,4.581,1.0
2024-08-02 15:00:00,104,985.0,4.2985,22.0,1.0,-9999.0,1.0,5.82279,1.8,7.99297,1.8,13.8158,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,117.081,1.0,28.179,1.0,636.252,1.0,0.0,1.0,-9999.0,1.0,30.35,1.0,4.006,1.0
2024-08-02 16:00:00,104,9.0,1.0,27.0,1.0,-9999.0,1.0,6.24599,1.8,12.024,1.8,18.27,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,119.537,1.0,29.795,1.0,636.049,1.0,0.0,1.0,-9999.0,1.0,30.252,1.0,3.567,1.0
2024-08-02 17:00:00,104,12.0,1.0,23.0,1.0,-9999.0,1.0,3.98631,1.8,12.5234,1.8,16.5097,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,114.623,1.0,33.623,1.0,636.278,1.0,0.0,1.0,-9999.0,1.0,29.244,1.0,3.588,1.0
2024-08-02 18:00:00,104,18.0,1.0,38.0,1.0,-9999.0,1.0,3.36783,1.8,20.3603,1.8,23.7281,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,154.432,1.0,39.234,1.0,636.874,1.0,0.0,1.0,-9999.0,1.0,27.491,1.0,2.643,1.0
2024-08-02 19:00:00,104,9.0,1.0,42.0,1.0,-9999.0,1.0,0.898323,1.8,23.6233,1.8,24.5216,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,141.025,1.0,54.768,1.0,637.738,1.0,0.0,1.0,-9999.0,1.0,25.583,1.0,1.957,1.0
2024-08-02 20:00:00,104,15.0,1.0,38.0,1.0,-9999.0,1.0,1.2615,1.8,15.6693,1.8,16.9308,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,152.786,1.0,62.008,1.0,638.264,1.0,0.0,1.0,-9999.0,1.0,24.546,1.0,3.212,1.0
2024-08-02 21:00:00,104,17.0,1.0,22.0,1.0,-9999.0,1.0,1.82912,1.8,17.1843,1.8,19.0134,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,166.335,1.0,67.57,1.0,638.913,1.0,0.0,1.0,-9999.0,1.0,23.518,1.0,3.107,1.0
2024-08-02 22:00:00,104,5.0,1.0,27.0,1.0,-9999.0,1.0,2.96511,1.8,20.9722,1.8,23.9374,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,174.76,1.0,74.174,1.0,639.227,1.0,0.0,1.0,-9999.0,1.0,22.756,1.0,3.175,1.0
2024-08-02 23:00:00,104,6.0,1.0,24.0,1.0,-9999.0,1.0,1.55456,1.8,13.9647,1.8,15.5193,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,155.794,1.0,77.888,1.0,639.134,1.0,0.0,1.0,-9999.0,1.0,22.26,1.0,3.519,1.0
2024-08-03 00:00:00,104,14.0,1.0,27.0,1.0,-9999.0,1.0,1.77693,1.8,15.7068,1.8,17.4837,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,159.456,1.0,76.884,1.0,639.083,1.0,0.01,1.0,-9999.0,1.0,22.18,1.0,2.887,1.0
2024-08-03 01:00:00,104,13.0,1.0,22.0,1.0,-9999.0,1.0,1.43762,1.0,12.3065,1.0,13.7442,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,158.933,1.0,79.251,1.0,639.091,1.0,1.0,1.0,-9999.0,1.0,20.187,1.0,2.155,1.0
2024-08-03 02:00:00,104,7.0,1.0,19.0,1.0,-9999.0,1.0,0.889574,1.0,5.50785,1.0,6.39742,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,159.654,1.0,83.126,1.0,638.829,1.0,0.28,1.0,-9999.0,1.0,19.175,1.0,1.346,1.0
2024-08-03 03:00:00,104,6.0,1.0,11.0,1.0,-9999.0,1.0,1.20505,1.0,10.5759,1.0,11.7809,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,154.605,1.0,81.74,1.0,638.521,1.0,0.03,1.0,-9999.0,1.0,19.345,1.0,1.263,1.0
2024-08-03 04:00:00,104,10.0,1.0,10.0,1.0,-9999.0,1.0,2.2789,1.0,15.722,1.0,17.9926,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,163.476,1.0,81.946,1.0,638.368,1.0,0.0,1.0,-9999.0,1.0,19.412,1.0,1.028,1.0
2024-08-03 05:00:00,104,14.0,1.0,21.0,1.0,-9999.0,1.0,4.46572,1.0,21.29,1.0,25.7557,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,252.928,1.0,83.389,1.0,638.443,1.0,0.0,1.0,-9999.0,1.0,18.994,1.0,0.686,1.0
2024-08-03 06:00:00,104,22.0,1.0,31.0,1.0,-9999.0,1.0,12.3844,1.0,20.8511,1.0,33.2355,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,173.302,1.0,81.086,1.0,639.017,1.0,0.0,1.0,-9999.0,1.0,19.397,1.0,0.855,1.0
2024-08-03 07:00:00,104,19.0,2.6,15.0,2.6,-9999.0,1.0,35.9699,2.2,23.372,1.0,59.3419,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,115.934,1.0,76.581,1.0,639.496,1.0,0.0,1.0,-9999.0,1.0,20.409,1.0,0.408,1.0
2024-08-03 08:00:00,104,22.0,1.0,48.0,1.0,-9999.0,1.0,39.6136,2.2,28.4506,1.0,68.0642,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,51.684,1.0,69.392,1.0,639.618,1.0,0.0,1.0,-9999.0,1.0,21.559,1.0,0.211,1.0
2024-08-03 09:00:00,104,26.0,2.6,17.0,2.6,-9999.0,1.0,17.3212,1.0,27.6296,1.0,44.9508,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,293.293,1.0,67.297,1.0,639.643,1.0,0.0,1.0,-9999.0,1.0,22.282,1.0,0.509,1.0
2024-08-03 10:00:00,104,28.0,1.0,52.0,2.3,-9999.0,1.0,22.1473,1.0,39.5933,1.0,61.7406,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,161.262,1.0,59.796,1.0,639.362,1.0,0.0,1.0,-9999.0,1.0,23.848,1.0,0.508,1.0
2024-08-03 11:00:00,104,23.0,1.0,45.0,1.0,-9999.0,1.0,12.8043,1.0,34.3363,1.0,47.1406,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,182.227,1.0,52.892,1.0,638.943,1.0,0.0,1.0,-9999.0,1.0,25.744,1.0,1.95,1.0
2024-08-03 12:00:00,104,17.0,1.0,22.0,1.0,-9999.0,1.0,6.04213,1.0,16.3401,1.0,22.3822,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,170.323,1.0,48.605,1.0,638.189,1.0,0.0,1.0,-9999.0,1.0,27.48,1.0,3.315,1.0
2024-08-03 13:00:00,104,21.0,2.3,28.0,1.0,-9999.0,1.0,6.50739,1.0,15.2566,1.0,21.764,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,184.996,1.0,42.782,1.0,637.349,1.0,0.0,1.0,-9999.0,1.0,28.461,1.0,1.608,1.0
2024-08-03 14:00:00,104,6.0,1.0,14.0,1.0,-9999.0,1.0,3.562,1.0,10.1146,1.0,13.6766,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,169.097,1.0,39.873,1.0,636.609,1.0,0.0,1.0,-9999.0,1.0,29.056,1.0,2.899,1.0
2024-08-03 15:00:00,104,7.0,1.0,16.0,1.0,-9999.0,1.0,5.23071,1.0,11.7709,1.0,17.0016,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,132.538,1.0,37.141,1.0,636.291,1.0,0.0,1.0,-9999.0,1.0,29.066,1.0,2.978,1.0
2024-08-03 16:00:00,104,2.0,1.0,11.0,1.0,-9999.0,1.0,8.75787,1.0,13.7301,1.0,22.488,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,175.793,1.0,48.212,1.0,636.033,1.0,0.0,1.0,-9999.0,1.0,27.724,1.0,3.93,1.0
2024-08-03 17:00:00,104,0.0,3.1,17.0,1.0,-9999.0,1.0,4.4318,1.0,11.9822,1.0,16.414,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,176.84,1.0,53.557,1.0,636.017,1.0,0.0,1.0,-9999.0,1.0,26.747,1.0,4.367,1.0
2024-08-03 18:00:00,104,10.0,1.0,21.0,1.0,-9999.0,1.0,2.80579,1.0,11.9158,1.0,14.7216,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,174.011,1.0,60.981,1.0,636.597,1.0,0.0,1.0,-9999.0,1.0,25.175,1.0,3.875,1.0
2024-08-03 19:00:00,104,8.0,1.0,33.0,1.0,-9999.0,1.0,2.22699,1.0,17.1042,1.0,19.3312,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,172.112,1.0,69.18,1.0,637.421,1.0,0.0,1.0,-9999.0,1.0,23.962,1.0,3.715,1.0
2024-08-03 20:00:00,104,13.0,1.0,25.0,1.0,-9999.0,1.0,2.18247,1.0,16.155,1.0,18.3374,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,154.33,1.0,72.505,1.0,638.057,1.0,0.0,1.0,-9999.0,1.0,23.404,1.0,3.291,1.0
2024-08-03 21:00:00,104,13.0,1.0,30.0,1.0,-9999.0,1.0,4.47042,1.0,19.795,1.0,24.2654,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,161.943,1.0,75.569,1.0,638.632,1.0,0.0,1.0,-9999.0,1.0,22.925,1.0,2.704,1.0
2024-08-03 22:00:00,104,12.0,1.0,26.0,1.0,-9999.0,1.0,2.50819,1.0,16.3329,1.0,18.8411,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,163.115,1.0,79.746,1.0,638.98,1.0,0.0,1.0,-9999.0,1.0,22.216,1.0,2.128,1.0
2024-08-03 23:00:00,104,15.0,1.0,26.0,1.0,-9999.0,1.0,2.24406,1.0,13.8785,1.0,16.1225,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,160.353,1.0,80.272,1.0,638.938,1.0,0.0,1.0,-9999.0,1.0,21.986,1.0,1.626,1.0
2024-08-04 00:00:00,104,7.0,1.0,31.0,1.0,-9999.0,1.0,2.97212,1.0,16.8373,1.0,19.8094,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,149.608,1.0,83.659,1.0,638.74,1.0,0.0,1.0,-9999.0,1.0,21.466,1.0,1.737,1.0
2024-08-04 01:00:00,104,17.0,2.6,15.0,2.6,-9999.0,1.0,1.90881,1.8,13.6314,1.8,15.5402,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,156.581,1.0,83.922,1.0,638.308,1.0,0.0,1.0,-9999.0,1.0,21.217,1.0,2.702,1.0
2024-08-04 02:00:00,104,13.0,1.0,25.0,1.0,-9999.0,1.0,2.0592,1.8,12.2283,1.8,14.2875,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,161.659,1.0,83.967,1.0,638.063,1.0,0.0,1.0,-9999.0,1.0,20.884,1.0,2.018,1.0
2024-08-04 03:00:00,104,15.0,1.0,27.0,1.0,-9999.0,1.0,2.47887,1.8,11.4547,1.8,13.9336,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,154.992,1.0,82.129,1.0,638.361,1.0,0.0,1.0,-9999.0,1.0,20.682,1.0,2.132,1.0
2024-08-04 04:00:00,104,12.0,1.0,23.0,1.0,-9999.0,1.0,2.45164,1.8,10.5928,1.8,13.0444,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,158.027,1.0,79.754,1.0,638.348,1.0,0.0,1.0,-9999.0,1.0,20.543,1.0,1.831,1.0
2024-08-04 05:00:00,104,10.0,1.0,17.0,1.0,-9999.0,1.0,3.02006,1.8,12.2259,1.8,15.246,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,153.343,1.0,79.688,1.0,638.389,1.0,0.03,1.0,-9999.0,1.0,20.486,1.0,1.452,1.0
2024-08-04 06:00:00,104,10.0,2.6,6.0,2.6,-9999.0,1.0,7.29469,1.8,15.8805,1.8,23.1752,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,150.544,1.0,78.164,1.0,638.551,1.0,0.0,1.0,-9999.0,1.0,20.472,1.0,1.923,1.0
2024-08-04 07:00:00,104,9.0,1.0,21.0,1.0,-9999.0,1.0,10.3387,2.2,14.0654,1.8,24.4041,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,161.953,1.0,77.771,1.0,638.924,1.0,0.0,1.0,-9999.0,1.0,20.572,1.0,2.317,1.0
2024-08-04 08:00:00,104,13.0,1.0,20.0,1.0,-9999.0,1.0,13.3073,2.2,12.6227,1.8,25.93,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,149.271,1.0,74.552,1.0,639.137,1.0,0.0,1.0,-9999.0,1.0,21.56,1.0,2.043,1.0
2024-08-04 09:00:00,104,19.0,2.6,8.0,2.6,-9999.0,1.0,13.6206,2.2,9.33726,1.8,22.9578,1.8,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,212.585,1.0,68.734,1.0,639.082,1.0,0.0,1.0,-9999.0,1.0,22.873,1.0,0.36,1.0
